של,2507
את,2429
על,1757
הוא,1302
עם,1217
לא,805
היא,656
כדי,633
הם,588
הסרט,581
כאשר,557
לאחר,542
שלו,529
כל,526
אחד,515
אשר,496
אותו,465
אבל,424
אך,408
לו,379
בין,372
שהוא,367
סרט,342
אל,340
גם,334
מה,330
זה,319
ביותר,319
יותר,293
עד,292
אחר,290
בו,275
העולם,272
ה,267
ידי,265
אחרי,262
שלה,259
עצמו,257
שני,257
בן,247
להיות,243
שלהם,242
מגלה,241
אותה,237
חייו,236
שנים,235
שם,233
רק,231
לפני,223
צעיר,214
כי,213
למצוא,205
סיפור,204
לה,197
בשם,196
שלא,194
שהיא,192
אדם,190
יש,185
בבית,182
בעולם,180
אותם,180
מנסה,175
כמו,173
מוצא,172
שהם,171
עי,171
או,170
יום,168
בזמן,168
אחת,165
למסע,164
בה,164
במהלך,163
לשעבר,159
מנת,159
היה,158
בלתי,157
מחליט,156
להציל,155
יוצא,154
דרך,153
מתחיל,151
יחד,151
צעירה,150
האם,149
דבר,149
בני,148
איש,148
להם,146
והוא,146
מבוסס,145
גון,143
בעל,140
מגיע,140
אם,139
בית,138
חדש,137
חיים,137
בסרט,136
החיים,135
הבמאי,135
תוך,134
עליו,131
אנשים,129
חוזר,128
מספר,127
בכדי,126
הראשון,124
אישה,124
הופך,123
בת,123
זאת,123
כך,123
חייהם,122
הכל,121
שנה,121
אשתו,120
הטוב,119
בכל,119
ללא,119
סיפורו,118
אהבה,118
לעשות,117
עוד,117
מי,116
לצאת,116
יוצאים,116
הגדול,115
החדש,115
כמה,115
השניים,114
להתמודד,114
פעם,113
כשהוא,112
ואת,112
קבוצת,111
עצמם,110
מול,108
הזה,107
פוגש,106
זוג,106
מאוד,104
לגלות,104
יכול,103
מחדש,102
בעקבות,102
עצמה,101
שבו,101
בדרך,100
מן,100
למרות,100
סרטו,99
הצעיר,98
אלא,98
כבר,97
באופן,97
השני,96
מלחמת,96
מצליח,95
ילדים,95
הזמן,95
העיר,95
סוכן,95
בעוד,95
בתוך,94
משפחתו,94
מוצאים,94
לסרט,94
לעזור,94
לחזור,93
בעיר,93
פעולה,93
רוצה,93
מגלים,92
נגד,92
בשנת,91
קומדיה,91
כוחות,90
נערה,90
שתי,89
חייה,89
משפחה,89
האחרון,88
אינו,88
שלושה,88
זמן,88
ולא,88
אביו,87
לעולם,86
ביניהם,86
כעת,86
קטנה,86
חברים,86
חדשה,85
וגם,85
נאלץ,85
הארץ,85
הראשונה,84
מתחילים,84
המשפחה,84
הסיפור,84
ב,83
בחיים,83
זו,83
קשה,83
צוות,83
ילד,82
יורק,82
נער,81
יוצאת,81
אף,81
הכי,81
עוקב,81
גבר,80
במשך,80
שנות,79
עולם,79
אחיו,79
תחת,79
מהם,79
רב,79
עבור,79
עכשיו,78
מתחילה,78
ארהב,78
טוב,77
לחיות,77
הספר,76
גדול,76
מוצאת,76
להגן,76
זוכה,76
מותחן,76
במקום,76
שוב,76
האדם,75
חייב,75
בתפקיד,75
קטן,75
מייקל,74
כנגד,73
בחור,73
ממנו,73
מסתורי,73
חיי,73
בנו,73
שיש,72
ועל,72
אליו,72
במטרה,72
לבית,71
אנגלס,71
גיימס,71
רוצח,71
מנסים,70
בעלה,70
רצח,70
חברו,70
נמצא,70
אמיתי,69
מבין,69
הבית,69
ביחד,69
זהו,69
מלחמה,69
בידי,69
האמיתי,69
והיא,68
בתו,68
לכל,68
לברוח,68
השנייה,68
להפוך,68
לשרוד,67
אין,67
ספר,67
הגדולה,67
אי,67
לקחת,66
קבוצה,66
אימה,66
במהרה,66
מגלם,66
לבין,66
מקום,66
החדשה,65
כדור,65
כולם,65
בחורה,65
הרבה,65
היחידה,65
שהיה,64
דרמה,64
סמים,64
נראה,63
המלחמה,63
המשטרה,63
הלא,63
סרטי,63
לחיים,62
מאז,62
בעזרת,62
לוקח,62
מגיעה,62
מעולם,62
מסע,61
לחקור,61
כסף,61
במיוחד,61
הן,61
קשר,61
לב,61
מערכת,61
זכה,61
אמריקאי,61
משהו,61
רומן,61
רוברט,60
לתוך,60
ברחבי,60
צעירים,60
בעיירה,60
חי,60
חסר,60
סיפורה,59
היחיד,59
יודע,59
עדיין,59
הופכת,59
שוטר,59
אמה,58
סוף,58
כשהיא,58
האחרונה,58
השנה,58
לעצור,58
ראש,58
האהבה,58
חלק,58
היחסים,57
מחליטים,57
נשים,57
עומד,57
עובד,57
מחליטה,57
עושה,57
בשנות,57
צריך,57
מסוכן,57
הפעם,56
אירועים,56
המבוסס,56
פני,56
היום,56
בניו,56
לילה,55
לנקום,55
גק,55
בדיוק,55
עבודה,55
משחק,55
מדי,54
העלילה,54
מאחורי,54
המאה,54
האמת,54
לי,54
איתו,54
מגיעים,53
החברה,53
מקבל,53
ניו,53
להוכיח,53
סיפורם,53
הפשע,52
ועד,52
המשך,52
אנשי,52
מנהל,52
איך,52
הקולנוע,52
וכל,52
מכל,52
הברית,51
מביא,51
עובר,51
הולך,51
כמעט,51
מצליחה,51
יחסים,51
חדשים,51
המקום,51
הבלתי,51
נשלח,51
בהם,50
הדרך,50
לאורך,50
לקבל,50
בפסטיבל,50
והם,50
ממנה,50
בחייו,50
פרס,50
מבית,50
בתור,49
היו,49
חבורת,49
הזוג,49
טום,49
שבה,49
חבר,49
רבים,49
פשע,49
הדבר,49
הצעירה,48
מאת,48
עליהם,48
בפני,48
קצר,48
סוד,48
הקטנה,48
להבין,48
חבריו,48
העבר,48
כשהם,48
לעבוד,48
להשיג,48
האיש,48
אצל,47
חייל,47
דרכים,47
לאחד,47
עבר,47
ועוד,47
בגלל,47
מסתורית,47
אודות,47
השנים,47
מחוץ,47
רומנטית,47
הסרטים,46
דברים,46
להחזיר,46
הביתה,46
גברים,46
מגולל,46
בעלת,46
האנשים,46
להגיע,45
הילדים,45
עליה,45
בלש,45
מאוחר,45
נקמה,45
האמריקאי,45
מלא,45
אולם,45
משימה,45
מתאהב,45
ארבעה,45
כוכב,44
מתרחש,44
בארהב,44
לאתר,44
דולר,44
אלן,44
דר,44
עלידי,44
לעבור,44
אפילו,44
ללמוד,44
גדולה,44
מכן,43
לשמור,43
יפה,43
ממש,43
מיליון,43
יכולים,43
אחרים,43
באותו,43
הרפתקאות,43
פוגשת,43
אינה,43
להילחם,43
סדרת,43
נאלצים,43
בלי,43
שכל,43
הזדמנות,43
ביום,42
פול,42
חייבים,42
לנצח,42
הזהב,42
מהכלא,42
צבא,42
הקרב,42
לראות,42
ביים,42
המאפיה,42
שניהם,42
ספרו,42
כולל,42
רבות,42
ואף,42
ועם,42
בעבר,41
האוסקר,41
המצליח,41
להרוג,41
במרכז,41
כפי,41
בפרס,41
העניינים,41
כוח,41
ילדה,41
מעבר,41
יוצר,41
דמותו,41
